,open,high,low,close,H-L,O-C,5day MA,Std_dev,RSI,Williams %R,ema_3,sma_3,ema_10,sma_10,ema_30,sma_30,H_line,M_line,L_line,cci,macd,macdsignal,macdhist,ATR
33,0.9622299999999999,0.9622299999999999,0.95983,0.9606600000000001,0.0023999999999999577,-0.0015699999999998493,0.9604320000000003,0.002863515322116918,60.63426296022464,-39.596273291925066,0.9611011374940227,0.9618933333333334,0.9585712661166492,0.9604070000000002,0.9451043910840506,0.9433490000000002,0.9649127833943789,0.9604070000000002,0.9559012166056216,52.73304598741936,0.008618134862256488,0.0087234201273843,-0.00010528526512781217,0.007287214782930531
34,0.9606600000000001,0.9712,0.9579,0.96316,0.013299999999999979,0.0024999999999999467,0.9611680000000004,0.002747340532223555,63.7982330722082,-43.886462882095714,0.9621305687470114,0.9620466666666667,0.9594055813681676,0.9607130000000002,0.9462692690786281,0.9441276666666668,0.965500634488806,0.9607130000000002,0.9559253655111943,116.01448455358408,0.0085023138679855,0.00867919887550454,-0.0001768850075190391,0.007716699441292635
35,0.96316,0.96465,0.9547,0.9554299999999999,0.009950000000000014,-0.007730000000000126,0.9610560000000004,0.003175370844483944,49.858732182553105,-86.0807860262012,0.9587802843735056,0.95975,0.9586827483921371,0.960246,0.9468602839767811,0.9448763333333334,0.9659960274780907,0.960246,0.9544959725219094,-54.74452554744232,0.007698040281385876,0.008482967156680806,-0.0007849268752949303,0.007876220909771733
36,0.9554299999999999,0.9639,0.95288,0.9615799999999999,0.01102000000000003,0.006149999999999989,0.9608540000000003,0.0030496065319969862,58.06053941378181,-52.51091703056807,0.9601801421867527,0.9600566666666666,0.9592095214117485,0.9604760000000001,0.9478099430750533,0.9457893333333335,0.9662370568473714,0.9604760000000001,0.9547149431526288,-43.007518796991974,0.007470782738820514,0.008280530273108749,-0.0008097475342882347,0.008100776559073755
37,0.96149,0.9749,0.96057,0.973,0.014329999999999954,0.01151000000000002,0.9606300000000003,0.006413827250557801,68.74178556622974,-8.628519527702132,0.9665900710933764,0.9633366666666666,0.9617168811550669,0.9615990000000002,0.9494351080379531,0.947334,0.9710971954074266,0.9615990000000002,0.9521008045925738,295.93960585245645,0.008118591983376722,0.008248142615162343,-0.0001295506317856212,0.008545721090568484
38,0.9731,0.9737600000000001,0.96988,0.97172,0.0038800000000001056,-0.0013799999999999368,0.9627660000000002,0.00734545573807356,66.60289493647129,-14.441416893732766,0.9691550355466882,0.9687666666666667,0.9635356300359639,0.9630730000000002,0.9508728430032464,0.9487673333333334,0.9737484299209839,0.9630730000000002,0.9523975700790165,224.41650886358852,0.008431507009928008,0.008284815494115475,0.00014669151581253245,0.008212455298385029
39,0.97172,0.97172,0.97172,0.97172,0.0,0.0,0.9649780000000003,0.007799320483221395,66.60289493647129,-14.441416893732766,0.9704375177733442,0.9721466666666667,0.9650236973021523,0.9638730000000001,0.9522178208740046,0.9504320000000003,0.9757534715394132,0.9638730000000001,0.951992528460587,159.3661976007093,0.008580582805545856,0.008343968956401552,0.00023661384914430358,0.007625851348500384
40,0.9705,0.9723799999999999,0.9705,0.97144,0.0018799999999998818,0.0009399999999999409,0.9666900000000004,0.004685842506955935,66.0340566055952,-15.712988192552281,0.970938758886672,0.9716266666666667,0.9661902977926701,0.9653729999999999,0.9534579614627785,0.9521353333333337,0.9769033774439766,0.9653729999999999,0.9538426225560233,119.23619784527133,0.008577259479542132,0.008390627061029669,0.00018663241851246334,0.007215433395036062
41,0.97144,0.97508,0.9667,0.97149,0.008379999999999943,4.999999999999449e-05,0.9698920000000004,0.0006424795716547757,66.09223468913945,-16.171171171171093,0.971214379443336,0.97155,0.9671538800121846,0.9662519999999999,0.9546213187877606,0.9537240000000003,0.9781670385648008,0.9662519999999999,0.954336961435199,93.12730795948929,0.008480897791310893,0.008408681207085914,7.22165842249791e-05,0.0072986167239620535
42,0.97149,0.9729,0.96716,0.9689399999999999,0.005739999999999967,-0.0025500000000000522,0.9718740000000006,0.001193197385177336,60.17827744674611,-27.657657657657815,0.970077189721668,0.9706233333333333,0.9674786291008783,0.9669139999999998,0.9555451046724212,0.9552076666666669,0.9786153271042713,0.9669139999999998,0.9552126728957283,61.91324934624211,0.008105333530829872,0.008348011671834705,-0.00024267814100483245,0.0071872869579647615
43,0.9689399999999999,0.9737600000000001,0.96334,0.97054,0.010420000000000096,0.0016000000000000458,0.9710620000000005,0.0011462896667047983,62.54409045881965,-31.288766368022166,0.970308594860834,0.9703233333333333,0.9680352419916277,0.9679019999999998,0.9565125172742004,0.9568003333333336,0.9789758712292331,0.9679019999999998,0.9568281287707665,47.8745083171419,0.00784635488195351,0.008247680313858466,-0.0004013254319049555,0.0074181950323958575
44,0.97054,0.97385,0.96726,0.9691299999999999,0.006589999999999985,-0.0014100000000000223,0.9708260000000004,0.001223874993614382,59.06517767570606,-50.681431005110944,0.969719297430417,0.9695366666666666,0.9682342889022408,0.9684989999999998,0.9573265484178004,0.9583133333333336,0.9791203726044134,0.9684989999999998,0.9578776273955861,51.52836746286245,0.007441555599991045,0.008086455371084982,-0.0006448997710939361,0.007359038244367581
45,0.9691299999999999,0.9724299999999999,0.9626,0.9709700000000001,0.009829999999999894,0.0018400000000001748,0.9703080000000004,0.0011296149786518758,62.155549241692256,-32.93269230769116,0.9703446487152085,0.9702133333333333,0.9687316909200152,0.9700529999999997,0.958206771100523,0.9595540000000004,0.9761584667309439,0.9700529999999997,0.9639475332690556,25.588786137595633,0.007186381739764269,0.00790644064482084,-0.0007200589050565705,0.007535535512627032
